,model year,mpg,cylinders,displacement,horsepower,weight,acceleration,origin
0,70,17.689655172413794,6.758620689655173,281.41379310344826,147.82758620689654,3372.793103448276,12.948275862068966,1.3103448275862069
1,71,21.25,5.571428571428571,209.75,106.94533527696794,2995.4285714285716,15.142857142857142,1.4285714285714286
2,72,18.714285714285715,5.821428571428571,218.375,120.17857142857143,3237.714285714286,15.125,1.5357142857142858
3,73,17.1,6.375,256.875,130.475,3419.025,14.3125,1.375
4,74,22.703703703703702,5.2592592592592595,171.74074074074073,94.60997732426304,2877.925925925926,16.203703703703702,1.6666666666666667
5,75,20.266666666666666,5.6,205.53333333333333,101.06666666666666,3176.8,16.05,1.4666666666666666
6,76,21.573529411764707,5.647058823529412,197.7941176470588,101.11764705882354,3078.735294117647,15.941176470588236,1.4705882352941178
7,77,23.375,5.464285714285714,191.39285714285714,105.07142857142857,2997.3571428571427,15.435714285714285,1.5714285714285714
8,78,24.061111111111114,5.361111111111111,177.80555555555554,99.69444444444444,2861.8055555555557,15.805555555555555,1.6111111111111112
9,79,25.093103448275862,5.827586206896552,206.68965517241378,101.20689655172414,3055.344827586207,15.813793103448276,1.2758620689655173
10,80,33.69655172413793,4.137931034482759,115.82758620689656,79.3427163969036,2436.655172413793,16.93448275862069,2.206896551724138
11,81,30.33448275862069,4.620689655172414,135.31034482758622,81.84377199155524,2522.9310344827586,16.306896551724137,1.9655172413793103
12,82,31.70967741935484,4.193548387096774,128.8709677419355,82.20868992758395,2453.548387096774,16.638709677419353,1.6451612903225807
